epoch,lr,train_loss,valid_loss,train_accuracy,train_precision,train_f1,train_recall,train_iou,valid_accuracy,valid_precision,valid_f1,valid_recall,valid_iou
0,0.0001,0.21436086556185846,0.20612573623657227,0.9609601393989895,0.8936295769293837,0.9127870836499917,0.9363112371524275,0.8407982002313692,0.9455523490905762,0.8802657782256872,0.9298294748415031,0.9857638588496259,0.8696771471815911
1,0.0001,0.18777542626080307,0.05866751136879126,0.9648549867712933,0.903607138863093,0.920824990000569,0.9413201417372541,0.8553394956183523,0.9874512354532877,0.9783216452947058,0.98309544629368,0.9879513363143567,0.9668590772143334
2,0.0001,0.15630126712114914,0.0651395358145237,0.9694573153620181,0.9087887148532182,0.9342472077397279,0.961870515150357,0.8773663182891444,0.9821123282114664,0.9646704440845797,0.9780519461723461,0.991863169827473,0.95713302688156
3,0.0001,0.1481697348796803,0.0854451780517896,0.9705779759780221,0.9131154605640489,0.9357729288754497,0.9597566510312072,0.8799212540794477,0.985022226969401,0.9365227758130615,0.9560200106764696,0.976545833428288,0.9171645502883008
4,0.0001,0.1446690977267597,0.10659133394559224,0.9713980114978292,0.9176772492927323,0.9378671356666735,0.9593436621156634,0.8833836312493253,0.9752222696940104,0.9285088364246498,0.9559836862998029,0.9856502368655597,0.9168544755205194
5,0.0001,0.1488126937461936,0.08750237276156743,0.9704651106958804,0.9090645438340738,0.9337228142977791,0.9603836273475072,0.8763698821902214,0.982802152633667,0.9471286144119478,0.9645823607683899,0.9832081725367797,0.9322354606869706
6,0.0001,0.13613534491995108,0.05642387270927429,0.9728328145068624,0.9231145331221472,0.9408568267054969,0.9595685481307711,0.8887294433436577,0.9855619271596273,0.966013071646192,0.9791890937561899,0.99278698465895,0.9593587817684086
7,0.0001,0.1321459263563156,0.06438584377368291,0.9744509303051493,0.9205278092770672,0.9414854524095325,0.9638835579559469,0.8900133427393182,0.9842313925425211,0.9684887321464357,0.9788780997530786,0.9895270234327675,0.9588397992652942
8,0.0001,0.12621723795714584,0.0815337027112643,0.9745985217716383,0.9230812079084645,0.9439164900230238,0.9658946835064776,0.8941666741516133,0.9867092768351237,0.944413146901176,0.9589714346218079,0.9741242701359392,0.922609048096505
9,0.0001,0.12454859718032506,0.08897291620572408,0.9755659310714059,0.9261003852473187,0.9450790771688078,0.9651804031399552,0.8964524982967204,0.9821816285451254,0.9377396317821223,0.9612407675356421,0.9864034618482771,0.9256534176020569
10,0.0001,0.12371245544889699,0.09193401162823041,0.9756574008775794,0.9274716719994077,0.9462803145412767,0.9661954690780559,0.8982909740816026,0.9805626074473063,0.9471702736972231,0.9645870629003799,0.983012815053145,0.9327060886656774
11,0.0001,0.12441940929578699,0.07012524828314781,0.9753253563590671,0.9247584635104396,0.9452303109984785,0.9668203841691975,0.8964382122951832,0.9830383459726969,0.9631326899209235,0.9759442779846547,0.989241097624424,0.9532685694614526
12,0.0001,0.12035565499378287,0.07628752539555232,0.9759221698926843,0.9268157643430746,0.945986665242785,0.9664008191790812,0.8979606473386457,0.9839181105295817,0.956128502620797,0.9685299477458184,0.9816881553842068,0.9405566346708568
13,0.0001,0.11675507899211801,0.05577887470523516,0.97711850249249,0.9306795290332646,0.9485942960582058,0.9673631476899613,0.9025995819824284,0.9861796696980795,0.9663969532603635,0.9783654671107826,0.9907393706786224,0.9580651920567886
14,0.0001,0.12126765173414479,0.08961490541696548,0.9761384051779042,0.9310820648795991,0.9483040228099224,0.9664659612900453,0.9019595164623684,0.9794891675313314,0.9406372174265298,0.9629772340229489,0.9869821733699973,0.9297443401461946
15,0.0001,0.12260264352611873,0.08930668607354164,0.9759456904038138,0.9293789193300594,0.9464889737466066,0.9645036563997437,0.8986697628398178,0.9817252159118652,0.9489543546300757,0.966690132147757,0.9854250685095843,0.9360196912928972
16,0.0001,0.11096798984900764,0.06541793296734492,0.9776705140652864,0.9318331121571061,0.9510962921992336,0.9713885762740568,0.907095898497829,0.9832413991292318,0.9676915960482647,0.9785558924867517,0.989690451426498,0.9581096807698312
17,0.0001,0.11150144980005595,0.09270430107911427,0.9780554875083591,0.9364403274439372,0.9514216132535083,0.9670958418705236,0.9077709506164323,0.982784112294515,0.9468532031406588,0.9603918749918335,0.9744532241996581,0.9253249182070103
18,0.0001,0.10982358164113501,0.07916126896937688,0.978054544200068,0.9329005005705838,0.9511373976426064,0.9703230675752839,0.907281966529114,0.9830690224965414,0.9498128712157854,0.9687054524251205,0.9891138392814353,0.9399627916519252
19,0.0001,0.10423052310943604,0.07824565842747688,0.9794570466746455,0.9352991646361117,0.9531200049924188,0.9717507131016753,0.910669559858022,0.9864397048950195,0.9437202893134602,0.9602042361315365,0.9773786922515676,0.9247607055064745
